gender,type,offensive,mid,vertjaune
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,2,OM,MIDM,2
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,3,OM,NA,3
M,neutral,NA,NA,NA
M,positive,NA,NA,NA
