gender,type,offensive,mid,vertjaune
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,2,OF,MIDF,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
F,3,OF,NA,NA
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
